GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022300001,7,1630648,Jordan Schakel,1612709915,Maine Celtics,1,11,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,219,99,1,1,20231227,OKL,MNE
Shot Chart Detail,2022300001,11,1641809,Drew Peterson,1612709915,Maine Celtics,1,11,16,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,20,1,1,20231227,OKL,MNE
Shot Chart Detail,2022300001,13,1630846,Olivier Sarr,1612709889,Oklahoma City Blue,1,11,4,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,-12,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,15,1630846,Olivier Sarr,1612709889,Oklahoma City Blue,1,11,3,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,18,1630322,Lindy Waters III,1612709889,Oklahoma City Blue,1,10,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,237,98,1,1,20231227,OKL,MNE
Shot Chart Detail,2022300001,20,1630283,Kylor Kelley,1612709915,Maine Celtics,1,10,41,Missed Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,36,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,23,1641749,Keyontae Johnson,1612709889,Oklahoma City Blue,1,10,37,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,15,1,1,20231227,OKL,MNE
Shot Chart Detail,2022300001,26,1641775,Jordan Walsh,1612709915,Maine Celtics,1,10,26,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,104,109,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,28,1641749,Keyontae Johnson,1612709889,Oklahoma City Blue,1,10,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,1,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,30,1630648,Jordan Schakel,1612709915,Maine Celtics,1,10,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-39,284,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,32,1630322,Lindy Waters III,1612709889,Oklahoma City Blue,1,9,48,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,63,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,34,1630322,Lindy Waters III,1612709889,Oklahoma City Blue,1,9,45,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,17,1,1,20231227,OKL,MNE
Shot Chart Detail,2022300001,35,1630283,Kylor Kelley,1612709915,Maine Celtics,1,9,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,27,1,0,20231227,OKL,MNE
Shot Chart Detail,2022300001,38,1641749,Keyontae Johnson,1612709889,Oklahoma City Blue,1,9,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,26,1,1,20231227,OKL,MNE
