decile,n,mean_pred,actual,season
1,21871,0.32279659614823053,0.3244478990443967,2023-24
2,21870,0.3597834479954678,0.3578875171467764,2023-24
3,21870,0.37084529087913576,0.3705532693187014,2023-24
4,21870,0.38523052796750085,0.38870598994055783,2023-24
5,21870,0.40539388293202994,0.40050297210791036,2023-24
6,21870,0.4376317209007557,0.4413808870598994,2023-24
7,21870,0.45381974138414133,0.4636031092821216,2023-24
8,21870,0.5259608566745612,0.5235939643347051,2023-24
9,21870,0.6527769740298924,0.6438042981252858,2023-24
10,21870,0.8291847015274189,0.8289437585733882,2023-24
1,21953,0.3155246931690909,0.32273493372204254,2024-25
2,21953,0.356745922571283,0.3550312030246436,2024-25
3,21953,0.3686987128684853,0.36450599006969436,2024-25
4,21952,0.3820846438218347,0.38019314868804666,2024-25
5,21953,0.39880773725146207,0.38974172094930076,2024-25
6,21953,0.43273325896635795,0.4355668929075753,2024-25
7,21952,0.44802647247768645,0.4573615160349854,2024-25
8,21953,0.5120327367818435,0.5058078622511729,2024-25
9,21953,0.6480236009467124,0.6340363503849132,2024-25
10,21952,0.8291328980783036,0.8271683673469388,2024-25
1,21916,0.3270985104271834,0.3247855448074466,2025-26
2,21916,0.35855110285178143,0.3461854352984121,2025-26
3,21916,0.3698382366238957,0.3635699945245483,2025-26
4,21916,0.38325326259616727,0.3840116809636795,2025-26
5,21916,0.40042096738065736,0.39564701587881,2025-26
6,21916,0.4346406895304995,0.4394962584413214,2025-26
7,21916,0.44952921265775686,0.46094177769665995,2025-26
8,21916,0.518089898816509,0.5261452819857638,2025-26
9,21916,0.650288378118,0.6401259353896697,2025-26
10,21916,0.8297073033257337,0.8292115349516335,2025-26
