bucket,n,pps,xpps,execution_100,season
00-04s (rush),4684,0.7124252775405636,0.9279826637269986,-21.555738618643495,2023-24
05-24s,4544,1.033450704225352,1.088947969317105,-5.54972650917529,2023-24
25-36s (2-for-1 window),4607,1.0314738441502063,1.0893253722458294,-5.785152809562311,2023-24
37s+,204866,1.1044878115451076,1.0970368200322926,0.745099151281492,2023-24
00-04s (rush),4749,0.7033059591492946,0.9075468667113631,-20.424090756206848,2024-25
05-24s,4611,1.0097592713077423,1.0906787129661986,-8.091944165845621,2024-25
25-36s (2-for-1 window),4636,1.0472389991371873,1.0761519859463011,-2.8912986809113805,2024-25
37s+,205531,1.0975716558572672,1.0903746234864629,0.7197032370804379,2024-25
00-04s (rush),4047,0.7983691623424759,1.0311456463748827,-23.27764840324068,2025-26
05-24s,4511,1.0605187319884726,1.0934928373540167,-3.2974105365544126,2025-26
25-36s (2-for-1 window),4599,1.0545770819743423,1.0801287417741778,-2.5551659799835535,2025-26
37s+,206003,1.098556817133731,1.0926741561336735,0.5882661000057521,2025-26
