decile,n,mean_pred,actual,season
1,3276,0.28293877746024226,0.2869352869352869,2024
2,3276,0.3296963728104745,0.3253968253968254,2024
3,3276,0.34366760664286683,0.34706959706959706,2024
4,3276,0.35220296717880323,0.3611111111111111,2024
5,3276,0.3736136414077867,0.37454212454212454,2024
6,3276,0.3941983309041677,0.39255189255189255,2024
7,3276,0.43129244658022514,0.4172771672771673,2024
8,3276,0.5194081095872758,0.5115995115995116,2024
9,3276,0.6165882166346679,0.6248473748473748,2024
10,3275,0.7363496814899161,0.7386259541984733,2024
